,name,region_code,income_code
UGA,Uganda,SSA,LL
UKR,Ukraine,ECA,LM
UMC,Upper middle income,,
URY,Uruguay,LAC,HH
USA,United States,NAM,HH
UZB,Uzbekistan,ECA,LM
VCT,St. Vincent and the Grenadines,LAC,UM
VEN,"Venezuela, RB",LAC,UM
VGB,British Virgin Islands,LAC,HH
VIR,Virgin Islands (U.S.),LAC,HH
VNM,Vietnam,EAP,LM
VUT,Vanuatu,EAP,LM
WLD,World,,
WSM,Samoa,EAP,UM
XKX,Kosovo,ECA,LM
YEM,"Yemen, Rep.",MEA,LL
ZAF,South Africa,SSA,UM
ZMB,Zambia,SSA,LM
ZWE,Zimbabwe,SSA,LL
